QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,source,MisconceptionAName,MisconceptionBName,MisconceptionCName,MisconceptionDName,OriginalQuestionId
13,3065.0,Convert from hours to minutes,209.0,Time,B,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",\( 196 \) minutes,\( 18 \) minutes,\( 102 \) minutes,\( 12 \) minutes,,,161.0,,original,,,Answers as if there are 100 minutes in an hour when changing from hours to minutes,,
14,1505.0,Select the correct answer to an iteration question to the required degree of accuracy,69.0,Trial and Improvement and Iterative Methods,D,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.78 \),\( 4.79128 \ldots \),\( 4.8 \),\( 4.79 \),1775.0,1248.0,1529.0,,original,Stops iteration too early when solving equations,Rounds to the wrong degree of accuracy (rounds too little),Rounds to the wrong degree of accuracy (significant figures rather than decimal places),,
15,2578.0,Calculate the area of an equilateral triangle where the dimensions are given in the same units,75.0,Area of Simple Shapes,D,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",\( \frac{6 \times 12}{2} \),\( \frac{12 \times 12}{2} \),\( \frac{12 \times 12 \times 12}{2} \),None of these,,590.0,71.0,,original,,Has used slant height and base to find area of a triangle rather than perpendicular height and base,Multiplies all given dimensions when calculating an area,,
16,695.0,"Divide a quantity into two parts for a given a ratio, where each part is an integer",241.0,Sharing in a Ratio,D,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 16 \mathrm{~m} \),\( 30 \mathrm{~m} \),\( 6 \mathrm{~m} \),\( 18 \mathrm{~m} \),2378.0,105.0,1659.0,,original,Divides total amount by each side of the ratio instead of dividing by the sum of the parts,Mixes up sides of a ratio,Finds one part of a ratio but doesn't multiply that by the number of parts needed,,
17,1289.0,Prove statements involving odd and even numbers,210.0,Ordering Negative Numbers,D,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),616.0,2130.0,616.0,,original,Does not understand that 2n represents an even number,"Does not know the meaning of the word ""sum""",Does not understand that 2n represents an even number,,
18,261.0,Carry out missing number subtraction problems involving negative integers,211.0,Adding and Subtracting Negative Numbers,B,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",\( -7 \),\( -5 \),\( -2 \),\( -6 \),2179.0,,,1824.0,original,Assumes that an arrow on a number line starts at zero,,,Counts the starting number when counting backwards,
19,1623.0,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,1078.0,Adding and Subtracting Algebraic Fractions,C,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",\( \frac{1-t}{3 s} \),\( \frac{s-3 t}{3 s} \),\( \frac{3-s t}{3 s} \),\( \frac{1-t}{s-3} \),1916.0,2147.0,,907.0,original,"When subtracting fractions, subtracts the numerators and multiplies the denominators",Believes they should multiply each numerator by its original denominator when adding/subtracting fractions,,Does not find a common denominator when adding/subtracting fractions,
20,2306.0,"Given the volume of a cuboid, work out missing information",189.0,Volume of Prisms,B,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()",\( 6 \mathrm{~cm} \),\( 5 \mathrm{~cm} \),\( 4 \mathrm{~cm} \),\( 25 \mathrm{~cm} \),,,,1984.0,original,,,,Adds when calculating volume instead of multiplying,
21,1434.0,Factorise a quadratic expression in the form ax² + bx + c where a is prime,53.0,Factorising into a Double Bracket,B,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",\( (3 x+2)(3 x+1) \),\( (3 x+2)(x+1) \),Cannot be factorised,\( (3 x+1)(x+2) \),2240.0,,,,original,"When factorising a quadratic with a non-unit coefficient of x squared, believes that coefficient will be in front of both x terms in the factorised form",,,,
22,69.0,"Given the solution to one problem, deduce the answer to a related problem using the same operation",203.0,Mental Addition and Subtraction,A,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,,1408.0,2408.0,,original,,Does not realise that adding a larger number gives a larger answer,Does not realise that subtracting a larger number will give a smaller answer,,
23,2742.0,Interpret sloping linear sections of a displacement-time graph,58.0,Real Life Graphs,A,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Fido is walking home,Fido has fallen asleep,Fido is accelerating,Fido is walking away from home,,2492.0,2032.0,2437.0,original,,Confuses rest and movement on a distance time graph,Believes the gradient of a distance-time graph is the acceleration,Believes a downward slope on a distance-time graph means travelling away,
24,3229.0,Solve missing number mental multiplication questions,204.0,Mental Multiplication and Division,B,"What should replace the star?
\[
\bigstar \times 4=108
\]",\( 112 \),\( 27 \),\( 432 \),\( 104 \),,,2271.0,1319.0,original,,,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",Adds instead of multiples,
25,1872.0,Calculate speed where distance and time are in the appropriate units,67.0,Substitution into Formula,A,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",\( 0.4 \) metres per hour,\( 40 \) metres per hour,\( 2.5 \) metres per hour,\( 4 \) metres per hour,,509.0,2359.0,,original,,Believes speed is distance multiplied by time,Believes division is commutative ,,
26,1576.0,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",159.0,Equation of a Circle,A,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=16 \),\( x^{2}+y^{2}=\sqrt{4} \),\( x^{2}+y^{2}=8 \),\( x^{2}+y^{2}=4 \),,2474.0,2316.0,1944.0,original,,Confuses the square root of the radius with the radius squared in the equation of a circle,Mixes up squaring and multiplying by 2 or doubling,Confuses the radius with the radius squared in the equation of a circle,
27,1527.0,Substitute negative integer values into expressions involving no powers or roots,67.0,Substitution into Formula,C,If \( d=-2 \) what is the value of \( 10-2 d \) ?,\( -12 \),\( 6 \),\( 14 \),\( 32 \),,1597.0,,,original,,Believes multiplying two negatives gives a negative answer,,,
28,10.0,Count backwards in steps of of something other than one,200.0,Counting,C,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?","\( 19,102 \)","\( 19,099 \)","\( 19,098 \)","\( 19,097 \)",878.0,1824.0,,,original,"Counts on by 1, when asked to count forward/backwards in a step other than 1",Counts the starting number when counting backwards,,,
29,1045.0,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166.0,Solving Linear Inequalities,B,"Solve
\[
2 n+3 \leq 3 n-7
\]",\( 2 \leq n \),\( 10 \leq n \),\( n \leq 10 \),\( -4 \leq n \),1214.0,,811.0,1214.0,original,"When solving an equation, uses the same operation rather than the inverse.",,Believes they can multiply/divide through by a negative number without changing the direction of the inequality,"When solving an equation, uses the same operation rather than the inverse.",
30,3515.0,Determine the function of a single function machine used to create an algebraic expression,649.0,Function Machines,A,"Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be \( +2 m \)
Katie says the function could be \( \times 3 \)
Who do you agree with?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,,,220.0,,original,,,Only multiplies the first term in the expansion of a bracket,,
31,2028.0,Convert between cm and m,195.0,Length Units,A,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,\( 4.5 \),\( 45 \),\( 5 \),\( 45000 \),,704.0,1272.0,1651.0,original,,Thinks there are 10cm in a metre,Gives a rounded whole number instead of a decimal,Multiplies when converting to a larger unit,
32,1484.0,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64.0,Linear Equations,D,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)",\( \frac{2 r}{5}=5+r \),\( 10 r-15=10+5 r \),\( 2 r-3=10+r \),\( 2 r-3=10+5 r \),1566.0,98.0,347.0,,original,Adds or subtracts from numerator first when solving an equation with a fraction,Incorrectly clears fractions from equations,"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator ",,
33,1560.0,Given a situation sketch an appropriate real life graph,58.0,Real Life Graphs,D,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",![A cylinder sitting on one of its circular faces.](),![A wide cylinder with a narrow cylinder on top.](),![A narrow cylinder with a wide cylinder on top.](),"![A shape that looks like a beaker. It has a circular base, with sloped edges up to a larger circular face at the top.]()",218.0,,961.0,,original,Does not interpret a sloping gradient as a change in rate,,Does not spot the difference between a gradual change of gradient and 2 distinct line segments with different constant gradients,,
34,52.0,Find another power of 10 less than a given number,202.0,Place Value,C,"What number is \( 10,000 \) less than \( 901,426 \) ?","\( 801,426 \)","\( 911,426 \)","\( 891,426 \)",\( 90.1426 \),2264.0,1773.0,,228.0,original,"When subtracting a power of 10, subtracts from the wrong column",Adds rather than subtracts when answering worded problems,,Divides rather than subtracts when given the command 'less than',
35,380.0,Convert decimals less than 1 with 1 decimal place to percentages,239.0,Converting between Decimals and Percentages,A,"Convert this decimal to a percentage
\[
0.6
\]",\( 60 \% \),\( 6 \% \),\( 0.6 \% \),\( 0.006 \% \),,61.0,1965.0,1973.0,original,,Multiplies by 10 instead of 100 when converting decimal to percentage,Thinks you need to just add a % sign to a decimal to convert to a percentage,Divides instead of multiplies when converting a decimal to a percentage,
36,1273.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,251.0,Simplifying Expressions by Collecting Like Terms,C,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 \times d \),\( d 4 \),\( 4 d \),\( d^{4} \),1680.0,267.0,,1644.0,original,Does not realize we can omit the multiplication symbol in algebraic expressions,Writes the variable before the coefficient in an algebraic term,,Confuses collecting like terms with multiplication,
37,410.0,Simplify fractions that simplify to a unit fraction,227.0,Simplifying Fractions,C,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",\( \frac{3}{6} \),\( \frac{2}{6} \),\( \frac{3}{4} \),\( \frac{9}{12} \),848.0,,,2021.0,original,Believes when simplifying a fraction you can divide the numerator and denominator by different values,,,Does not recognise when a fraction can be simplified,
38,1616.0,Add algebraic fractions where one denominator is a multiple of the other,1078.0,Adding and Subtracting Algebraic Fractions,A,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",\( \frac{11}{2 x} \),\( \frac{7}{3 x} \),\( \frac{11}{x} \),\( \frac{7}{2 x} \),,217.0,,2234.0,original,,"When adding fractions, adds the numerators and denominators",,Forgets to change the numerators when finding equivalent fractions,
39,3115.0,Carry out a subtraction problem with positive integers where the answer is less than 0,202.0,Place Value,B,\( 598-1000= \),\( 402 \),\( -402 \),\( -412 \),This problem cannot be solved,1958.0,,699.0,959.0,original,"Believes the smaller number is always subtracted from the larger, regardless of the order of the calculation",,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit",Believes it is impossible to subtract a bigger number from a smaller number,
40,1561.0,Read values off a real life graph,58.0,Real Life Graphs,C,"Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 1000 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",\( £ 130 \),\( £ 250 \),\( £ 115 \),\( £ 175 \),1582.0,,,,original,Thinks terms in linear sequence are in direct proportion,,,,
41,3225.0,Write a missing term of an ascending integer linear sequence,171.0,Linear Sequences (nth term),A,"The \( 1^{\text {st }} \) term in a linear sequence is \( 7 \).

The \( 4^{\text {th }} \) term of the sequence is \( 25 \).

What is the \( 8^{\text {th }} \) term of the sequence?",\( 49 \),\( 50 \),\( 42 \),\( 56 \),,2386.0,,2252.0,original,,Believes there is a multiplicative relationship between values of terms in a linear sequence e.g. 10th term is double 5th term,,Believes you multiply the constant difference by the term number to get the term value,
42,953.0,"Given a gradient, state the gradient of a line parallel to it",262.0,Parallel Lines,C,"A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...",\( -5 \),\( -\frac{1}{5} \),\( 5 \),Not enough information,182.0,1461.0,,630.0,original,Believes parallel lines have gradients of opposite signs,Believes parallel lines have gradients that multiply to give -1,,Does not know parallel lines have equal gradients ,
43,446.0,Divide proper fractions in the form: Fraction ÷ Integer,232.0,Dividing Fractions,B,Calculate: \( \frac{4}{8} \div 2 \),\( \frac{2}{4} \),\( \frac{2}{8} \),\( \frac{2}{16} \),\( \frac{4}{4} \),381.0,,,1156.0,original,"When dividing a fraction by an integer, divides both the numerator and denominator by the integer",,,"When dividing a fraction by an integer, divides the denominator by the integer",
44,2440.0,Identify a right-angled triangle when presented non-conventionally,175.0,Properties of Triangles,C,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Scalene,Isosceles,Right-angled,Equilateral,646.0,1970.0,,1970.0,original,Confuses scalene and right angle triangles,Confuses isosceles and right angle triangles,,Confuses isosceles and right angle triangles,
45,3176.0,"For a given algebraic input, find the output of a function machine",649.0,Function Machines,D,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?",\( 10 a+2 \),\( 5 a+4 \),\( 7 a+4 \),\( 10 a+4 \),220.0,1911.0,2085.0,,original,Only multiplies the first term in the expansion of a bracket,Only multiplies second term in the expansion of a bracket,Adds instead of multiplies when multiplying algebraic terms,,
46,3190.0,Represent an equation using a bar model,70.0,Writing Expressions,B,"![Tom and Katie are discussing bar models.]() Tom says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline \( 2 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline\( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,31.0,,31.0,31.0,original,Does not understand bar modelling in algebra,,Does not understand bar modelling in algebra,Does not understand bar modelling in algebra,
47,403.0,"Calculate the whole amount, given a fraction of the amount",225.0,Fractions of an Amount,C,"What should replace the star?
\(
\frac{1}{3} \text { of } \color{yellow}\bigstar\)\(=27
\)",\( 61 \),\( 9 \),\( 81 \),\( 30 \),1403.0,2271.0,,,original,"When two digits multiply to 10 or more during a multiplication problem, does not add carried value to the preceding digit","When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",,,
48,3516.0,Determine the input of a double function machine used to create an algebraic expression,649.0,Function Machines,B,input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,\( 3 a-18 \),\( 3 a-4 \),\( 3 a-21 \),\( 3 a-7 \),617.0,,657.0,657.0,original,Does not apply the inverse function to every term in an expression,,Has completed only one of the two operations.,Has completed only one of the two operations.,
49,2238.0,Convert from years to days,209.0,Time,D,\( 2 \) leap years \( =\square \) days,\( 728 \),\( 730 \),\( 366 \),\( 732 \),1322.0,1322.0,,,original,Does not know how many days are in a leap year,Does not know how many days are in a leap year,,,
50,316.0,Divide decimals by 1000,202.0,Place Value,A,"What is the value of:
\[
23.04 \div 1000
\]",\( 0.02304 \),\( 0.2304 \),\( 0.0002304 \),\( 0.002304 \),,944.0,544.0,964.0,original,,"When dividing involving a power of 10, gives an answer 10 times bigger than it should be",When dividing a decimal by a power of 10 adds zeroes to start of the number ignoring the placement of the initial decimal point,"When dividing involving a power of 10, gives an answer 10 times smaller than it should be",
51,3279.0,Multiply 3 digit integers by 1 digit integers using the grid method,204.0,Mental Multiplication and Division,D,\( 427 \times 6= \),\( 240+120+42 \),\( 2400+120+47 \),\( 400+20+7 \),\( 2400+120+42 \),779.0,,,,original,"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit",,,,
52,3132.0,Write algebraic expressions with correct algebraic convention,70.0,Writing Expressions,A,"Which answer shows the following calculation using the correct algebraic convention?
\(
b \div a
\)",\( \frac{b}{a} \),\( a \div b \),\( \frac{a}{b} \),\( a b \),,2359.0,1542.0,1734.0,original,,Believes division is commutative ,Believes that a fraction means dividing the denominator by the numerator,Thinks that we can remove a division symbol and just write the variables next to each other,
53,3346.0,Identify the order of rotational symmetry of a shape,88.0,Properties of Quadrilaterals,B,"In which region would a rectangle belong? ![Venn diagram with two circles labelled with 'exactly two lines of symmetry' and 'rotational symmetry of order 2'. A is in the only exactly two lines of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 2 region and D is outside the two circles.]()",A,B,C,D,1877.0,,226.0,,original,Thinks rectangles have rotational symmetry or order 4,,Thinks rectangles have line symmetry in the diagonals ,,
54,399.0,Identify non-unit fractions when part of a shape,225.0,Fractions of an Amount,D,What fraction of the rectangle is shaded? ![A rectangle split into 10 equal parts with 3 parts shaded in yellow](),\( \frac{7}{10} \),\( 3 \),\( \frac{3}{7} \),\( \frac{3}{10} \),,659.0,2190.0,,original,,Does not know how to write a fraction - just given an integer answer,Denominator used for other parts rather than total parts,,
55,95.0,Complete missing number mental subtraction problems up to 100,203.0,Mental Addition and Subtraction,A,What should replace the star? \( \bigstar-37=38 \),\( 75 \),\( 1 \),\( -1 \),\( 65 \),,2271.0,2271.0,1383.0,original,,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation","When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation","When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",
56,704.0,Represent written scenarios as ratios,334.0,Writing Ratios,A,"For every \( 5 \) marbles Karen has, Marty has three times as many.

Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 1: 3 \),\( 5: 3 \),\( 5: 8 \),None of these,,,,499.0,original,,,,Does not realise ratio in worded problem can be simplified,
57,1961.0,Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,279.0,Right-angled Triangles (SOHCAHTOA),C,"Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",\( \operatorname{Sin} \),Cos,Tan,None of these,718.0,809.0,,1450.0,original,Uses sin when tan is required,Uses cos when tan is required,,Does not understand how to apply sohcahtoa,
58,1030.0,Represent a linear inequality with a single tail on a numberline,165.0,Inequalities on Number Lines,C,Which of the following diagrams represents \( x>-1 \) ?,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()","![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()","![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()","![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()",1880.0,,,550.0,original,Mixes up greater than and less than symbols,,,"When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning.",
59,578.0,Calculate percentage of an amount mentally where the percent is greater than 100,233.0,Percentages of an Amount,B,\( 130 \% \) of \( 40= \),\( 12 \),\( 52 \),\( 170 \),Impossible as you cannot have a percentage greater than \( 100 \),1313.0,,2206.0,1601.0,original,Found the percentage but forgot to add to 100%,,Added the values together instead of finding the percentage,Does not understand that you can have percentages greater than 100%,
60,410.0,Simplify fractions that simplify to a unit fraction,229.0,Converting Mixed Number and Improper Fractions,C,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),\( 1 \frac{16}{21} \),\( 1 \frac{1}{3} \),\( 3 \frac{1}{3} \),Cannot be simplified,,1104.0,,2178.0,original,,Simplifies integers when simplifying a mixed number,,Believes mixed numbers cannot be simplified,
